52	222	90	252	198	165	30	184	169	195	6	83	205	225	55	179	49
52	85	36	214	45	64	190	131	169	232	103	83	205	191	247	28	47
46	85	253	252	198	173	93	184	131	38	200	194	214	212	55	210	48
175	138	253	163	45	165	190	110	131	174	6	194	205	218	165	134	48
39	144	36	154	154	173	190	131	187	174	193	7	205	212	55	210	49
52	144	253	180	140	197	93	41	187	232	44	62	205	218	165	28	47
34	138	253	252	30	173	93	41	106	185	193	194	3	191	55	28	47
34	98	253	252	154	64	70	184	169	195	193	7	214	218	55	28	46
52	222	253	180	30	165	115	110	187	38	6	194	85	212	55	48	48
175	222	40	252	154	197	30	184	131	232	200	83	3	212	55	179	47
34	85	253	154	154	165	30	53	106	185	103	7	3	212	55	179	48
46	85	40	252	154	64	93	53	187	185	193	144	163	212	177	48	48
52	144	253	252	140	173	70	184	131	38	44	62	3	218	177	134	48
52	85	253	252	30	173	70	110	187	185	103	144	163	212	247	134	48
52	98	36	180	154	64	30	41	106	38	44	194	85	218	55	134	48
46	138	40	180	30	165	70	41	169	195	44	62	85	225	165	179	43
52	98	40	252	154	197	190	41	106	174	103	194	85	212	177	48	42
52	138	253	252	30	165	70	110	187	195	103	194	163	14	177	179	48
34	85	253	214	30	165	70	131	169	232	103	62	205	212	247	179	48
52	144	253	163	154	197	190	110	131	185	44	62	85	14	55	210	47
