166	12	231	125	53	216	216	160	245	160	2	0
166	51	17	55	212	111	231	160	245	160	2	0
219	24	147	55	212	216	216	160	61	205	2	0
206	0	17	182	89	188	111	37	78	189	2	0
206	51	216	182	10	188	216	37	64	189	2	0
219	190	216	182	219	138	216	160	78	84	2	0
219	24	190	55	10	111	88	171	78	84	2	0
219	0	147	44	89	138	88	37	78	160	2	0
219	12	190	151	53	111	216	171	153	190	2	0
206	0	231	125	53	138	231	211	78	205	2	0
199	24	147	111	53	176	111	167	61	172	2	4325376
166	254	17	22	185	138	232	17	78	172	2	0
191	12	17	186	53	216	230	211	78	61	2	134217728
159	0	147	118	185	216	137	211	224	172	2	2147483647
166	0	216	186	185	176	111	211	61	164	2	0
191	59	216	118	78	207	111	148	61	205	2	0
166	24	216	125	78	207	111	128	224	61	2	0
166	12	231	118	53	138	137	128	21	61	2	0
191	12	134	186	219	176	230	17	61	205	2	16
159	0	216	125	212	255	230	17	21	164	2	536870912
165	223	17	171	53	138	105	167	78	84	2	0
54	223	147	93	123	216	105	167	43	61	2	8
151	12	147	93	123	176	71	167	21	239	2	0
135	0	147	125	56	176	71	167	78	84	2	6400
54	59	17	171	123	176	173	148	162	239	2	0
135	59	147	93	6	138	173	147	43	84	2	16
120	60	17	28	6	138	105	1	43	84	2	0
135	0	102	125	56	176	198	128	139	84	2	0
135	60	231	171	56	255	71	148	78	84	2	0
135	59	231	118	53	207	89	128	43	164	2	0
120	60	231	160	53	207	173	147	43	226	2	16
6	12	17	75	123	207	105	1	151	239	2	0
120	60	17	75	56	207	196	168	139	61	2	0
180	8	216	28	210	207	173	168	151	61	2	0
6	8	231	28	56	176	71	213	151	226	2	0
6	8	17	160	210	252	67	147	151	172	2	0
120	8	102	68	210	255	173	147	43	239	2	0
54	8	17	28	123	252	196	167	43	124	2	0
151	60	231	28	56	255	71	147	151	172	2	0
151	171	147	75	56	138	196	1	43	226	2	0
120	223	246	96	7	31	198	187	44	61	2	0
54	11	231	28	123	216	89	0	162	172	2	67108864
165	60	246	29	53	203	23	0	44	61	2	0
165	60	231	125	56	216	166	0	78	167	2	0
151	11	137	125	210	31	33	167	44	61	2	512
120	223	231	41	210	215	166	64	139	213	2	0
165	6	216	29	123	31	166	167	157	61	2	16384
54	11	216	41	56	144	33	0	44	61	2	0
54	223	137	41	53	215	89	187	78	167	2	0
120	11	137	41	210	31	23	210	162	167	2	0
166	11	216	96	123	216	219	70	203	47	2	536870912
143	11	139	28	134	216	166	167	162	71	2	0
112	0	216	41	134	203	166	70	157	172	2	0
143	11	216	96	206	216	43	70	162	179	2	2
143	0	216	29	61	210	198	64	162	213	2	128
118	44	48	41	206	216	166	64	52	213	2	0
166	0	246	41	61	203	219	187	78	71	2	0
112	6	231	28	61	216	198	70	78	71	2	0
112	218	246	41	134	216	23	187	203	213	2	0
118	218	48	41	61	216	198	187	203	213	2	0
54	58	246	120	83	231	33	208	146	229	2	0
54	223	36	124	56	231	33	64	153	126	2	268435456
149	58	36	104	7	250	54	187	146	229	2	536870912
120	11	246	63	56	203	194	135	44	229	2	0
179	6	231	104	54	250	33	0	153	126	2	0
23	11	246	120	83	144	89	64	146	172	2	0
54	48	246	124	83	144	54	187	153	229	2	67108864
23	223	36	63	54	31	23	187	146	126	2	1073741824
179	223	231	104	83	203	89	208	146	213	2	0
149	58	216	124	83	144	33	187	13	229	2	64
23	58	231	100	83	203	18	16	133	213	2	0
81	11	36	97	48	250	18	220	152	160	2	0
60	48	231	97	39	39	18	139	152	160	2	16
81	66	216	63	34	39	150	16	133	213	2	0
60	58	216	100	83	203	33	139	139	160	2	0
247	11	231	97	34	39	18	139	152	166	2	0
54	94	231	92	48	144	206	88	172	166	2	0
54	94	36	63	48	39	206	16	139	166	2	262144
247	58	231	187	34	144	33	88	139	166	2	0
23	94	231	63	83	144	150	58	152	246	2	0
179	6	39	120	42	144	23	235	139	117	2	0
114	199	36	120	7	13	194	0	44	136	2	67108864
114	58	216	124	7	231	33	0	44	151	2	0
114	48	246	124	83	11	24	104	76	213	2	1024
179	58	216	253	42	250	23	104	44	213	2	0
23	58	36	253	115	144	23	235	44	213	2	0
54	48	137	63	39	250	33	104	146	136	2	0
179	199	137	63	39	250	23	235	146	117	2	0
23	48	137	124	39	13	194	235	44	213	2	4194304
23	58	39	124	83	13	23	6	146	213	2	0
23	58	242	120	7	231	23	128	146	213	2	0
23	223	216	124	83	91	54	204	13	229	2	16384
54	223	103	120	54	144	48	187	143	78	2	0
23	208	100	220	7	250	54	0	44	213	2	0
23	58	242	220	7	250	89	128	13	78	2	0
54	223	216	220	83	250	89	0	13	172	2	0
23	58	137	104	7	250	54	204	146	213	2	0
24	208	103	220	112	31	23	0	137	172	2	16384
175	6	137	63	83	144	89	128	137	167	2	0
24	6	242	63	7	250	89	204	137	213	2	0
23	240	216	63	83	144	13	208	146	172	2	0
232	6	137	63	18	170	214	64	153	213	2	0
5	240	198	120	56	144	13	208	163	229	2	0
54	223	198	124	83	170	91	64	163	229	2	0
23	11	36	124	56	141	13	142	153	229	2	0
182	11	36	63	13	141	227	64	146	229	2	1073741824
5	240	36	253	18	170	91	187	44	175	2	0
232	6	36	253	56	141	91	144	163	229	2	0
182	6	216	63	13	144	227	187	153	172	2	0
23	223	137	120	13	144	59	142	163	172	2	0
117	6	9	40	54	231	194	130	146	53	2	0
166	95	53	220	87	231	79	64	44	126	2	0
166	48	245	124	54	15	79	253	44	229	2	0
240	6	226	122	54	231	48	64	191	229	2	67108864
166	48	245	124	87	249	39	64	146	126	2	0
1	58	9	124	54	144	48	135	44	186	2	0
117	58	53	124	87	207	194	130	153	186	2	131072
240	58	9	63	87	249	39	130	44	186	2	0
1	48	9	40	54	207	194	244	146	53	2	0
179	58	9	63	8	231	194	130	153	126	2	0
54	58	13	253	22	20	214	64	200	196	2	0
179	43	220	73	107	231	1	251	153	196	2	0
23	43	220	175	107	144	54	251	200	196	2	0
179	43	13	175	19	250	89	251	13	167	2	0
179	58	13	253	19	203	89	198	153	141	2	0
179	158	13	73	107	203	65	198	153	229	2	0
23	58	220	253	126	231	89	251	44	229	2	0
120	6	220	188	22	20	65	64	149	167	2	0
179	158	220	188	19	20	1	198	153	167	2	0
179	24	36	253	126	250	214	64	149	141	2	33554432
180	8	218	232	99	144	214	135	153	114	2	0
97	6	246	120	99	155	43	135	153	160	2	256
180	207	116	253	7	144	89	0	143	160	2	0
214	6	189	232	56	144	214	0	153	167	2	0
179	8	116	253	7	144	6	183	153	167	2	0
214	8	246	84	83	231	6	183	143	167	2	0
38	207	116	253	83	144	89	135	164	213	2	1048592
180	8	245	253	56	155	226	208	153	172	2	16
180	6	189	84	99	31	226	88	139	160	2	0
180	6	218	51	56	155	6	208	146	114	2	1024
197	6	245	124	22	250	89	213	146	126	2	0
15	40	216	253	83	67	33	131	146	126	2	65536
