29	87	39	1	140	211	151	223	125	192	210	86	188	119	55	28	7848	144	11	155
158	72	9	234	140	230	112	223	41	192	86	189	0	245	71	168	7848	131	19	150
158	205	186	17	123	173	112	225	77	38	70	189	152	105	225	46	7848	163	17	180
136	20	20	252	120	26	163	78	114	172	210	200	188	45	221	248	7848	119	13	132
70	113	49	12	32	69	163	201	201	2	240	224	156	119	76	168	7848	147	11	158
50	113	175	12	140	184	112	192	174	191	92	14	85	65	211	195	7848	174	17	191
244	92	76	148	120	230	24	135	77	131	52	246	152	223	42	28	7848	159	17	176
84	137	202	136	57	69	255	209	8	172	179	49	182	48	44	92	7848	141	15	156
244	116	20	112	57	184	151	106	75	148	43	63	85	108	49	151	7848	137	17	154
138	16	49	148	32	171	23	154	155	124	240	70	152	53	73	237	7848	145	11	156
136	118	164	96	117	171	201	90	114	148	130	86	78	211	44	37	7848	136	13	149
34	13	104	17	57	193	23	225	201	5	248	158	78	237	70	38	7848	142	11	153
70	118	191	169	117	69	63	192	41	191	37	86	218	12	206	237	7848	138	11	149
104	107	49	12	123	230	201	234	77	2	52	119	246	45	168	123	7848	134	25	159
137	1	175	136	123	230	151	93	174	206	179	200	156	223	65	195	7848	138	15	153
16	116	20	148	213	173	255	223	41	184	236	119	85	45	92	118	7848	129	9	138
29	118	186	69	143	193	211	223	125	201	86	119	85	45	52	46	7848	138	13	151
94	13	229	148	239	77	24	106	77	8	130	63	246	119	232	140	7848	140	11	151
154	113	104	220	172	26	112	135	225	38	52	200	106	105	55	183	7848	153	21	174
245	205	202	196	47	211	231	197	114	192	52	49	250	194	73	219	7848	139	15	154
16	16	20	190	99	153	214	81	176	8	240	245	85	105	71	168	7848	139	13	152
137	107	49	1	143	83	246	197	47	29	231	198	246	194	55	118	7848	153	21	174
94	16	17	252	120	171	246	106	103	201	92	200	85	172	92	45	7848	143	15	158
136	107	207	11	123	251	37	225	8	98	92	158	246	112	65	151	7848	157	15	172
16	113	130	196	117	211	255	98	88	184	240	158	230	119	49	193	7848	150	11	161
136	212	76	1	120	230	79	225	41	165	194	224	182	197	71	248	7848	122	13	135
16	137	202	220	172	69	63	90	41	191	210	224	106	48	232	45	7848	149	13	162
158	113	104	177	176	101	41	180	201	253	248	200	246	45	72	45	7848	146	17	163
137	92	164	12	140	77	79	81	41	206	33	245	182	223	221	140	7848	130	11	141
43	72	196	177	167	251	81	167	47	148	52	63	188	197	44	248	7848	143	11	154
70	113	104	148	57	153	81	98	41	98	210	49	125	53	221	118	7848	148	13	161
94	20	8	112	176	83	24	90	114	191	37	75	100	254	205	248	7848	150	19	169
136	113	191	112	57	240	112	197	201	38	43	31	152	154	42	37	7848	147	19	166
70	16	17	17	57	115	255	106	75	5	86	119	146	119	42	66	7848	137	15	152
138	87	49	177	239	184	37	180	176	8	239	246	78	119	168	28	7848	137	15	152
94	205	164	1	176	199	41	201	41	38	43	86	99	112	49	140	7848	153	11	164
72	113	9	136	239	193	79	234	41	192	92	189	146	154	52	193	7848	158	15	173
72	87	39	248	120	173	246	98	133	172	248	189	68	254	211	46	7848	149	13	162
136	116	229	100	123	153	163	179	8	193	236	63	152	197	89	66	7848	130	13	143
84	87	76	148	172	184	141	78	137	148	92	86	246	154	211	183	7848	139	13	152
137	13	9	11	172	69	79	23	176	2	194	245	175	172	168	92	7848	129	15	144
16	214	76	112	2	47	63	154	114	165	37	119	68	105	55	10	7848	152	11	163
16	92	164	11	171	69	255	225	201	192	33	158	188	245	206	168	7848	133	11	144
84	37	196	100	224	240	214	98	8	253	229	86	78	105	225	46	7848	167	13	180
57	16	175	248	57	251	201	106	8	191	194	158	100	237	92	10	7848	146	13	159
50	1	17	234	117	171	63	180	114	201	248	4	85	105	72	151	7848	158	13	171
70	25	191	136	120	101	36	154	47	29	86	31	156	172	206	193	7848	143	11	154
244	116	227	112	57	211	246	179	201	206	229	63	230	211	221	248	7848	138	13	151
136	137	104	96	2	101	141	180	41	172	194	49	125	237	49	151	7848	137	9	146
137	116	164	169	123	101	41	234	88	148	130	145	175	119	225	183	7848	132	11	143
244	116	191	1	176	230	36	167	155	253	236	86	85	108	52	183	7848	175	21	196
154	234	227	234	171	171	112	23	47	192	240	4	188	197	65	118	7848	155	15	170
70	113	49	11	239	230	79	23	88	124	229	244	230	112	52	123	7848	150	15	165
138	113	20	100	123	101	81	98	133	191	86	246	100	53	44	151	7848	132	9	141
72	16	227	248	57	83	79	234	77	84	240	244	218	28	92	38	7848	124	9	133
136	113	98	177	140	47	141	93	125	84	117	63	175	112	205	193	7848	150	9	159
245	113	8	112	57	83	211	106	228	5	52	49	68	119	211	183	7848	131	11	142
29	137	98	69	47	69	214	223	77	201	33	31	78	65	73	248	7848	139	15	154
94	1	20	177	96	115	81	179	41	165	248	245	218	119	221	151	7848	127	11	138
137	1	8	196	176	246	214	180	75	184	227	49	125	211	211	179	7848	152	11	163
104	137	9	12	2	173	63	135	125	184	86	70	246	194	55	195	7848	146	9	155
29	13	9	16	167	47	170	192	228	131	70	145	146	45	89	179	7848	139	15	154
34	20	186	136	176	47	81	201	41	172	130	246	246	53	52	168	7848	143	13	156
245	113	98	11	47	123	151	106	88	8	210	219	218	53	73	38	7848	149	17	166
245	137	175	148	171	193	151	225	103	193	231	119	218	194	70	248	7848	141	13	154
245	234	164	64	167	184	36	23	41	201	231	245	99	12	70	183	7848	169	15	184
94	20	164	169	224	123	201	197	228	193	52	70	175	197	44	193	7848	142	9	151
43	16	20	1	171	47	214	223	174	38	229	224	99	254	221	179	7848	152	15	167
43	137	76	11	120	26	79	223	176	184	210	219	78	28	89	140	7848	160	15	175
137	137	98	96	183	26	79	179	133	191	43	14	85	194	211	10	7848	135	13	148
34	205	49	64	239	77	41	154	221	184	86	244	68	254	52	179	7848	156	19	175
244	116	104	169	57	246	255	135	103	84	240	49	100	197	205	248	7848	141	17	158
158	137	191	136	176	251	231	135	75	193	160	119	156	254	72	168	7848	146	15	161
136	1	175	248	172	199	23	23	103	38	248	145	250	223	76	118	7848	140	13	153
130	234	39	112	123	230	211	208	47	192	160	189	175	105	205	183	7848	154	11	165
104	107	17	1	32	115	37	234	174	148	92	75	125	182	73	168	7848	148	11	159
43	72	8	17	32	153	23	81	133	148	194	49	100	45	92	237	7848	125	13	138
104	72	49	136	32	193	170	167	155	172	52	86	175	65	206	46	7848	141	17	158
136	113	20	1	120	171	163	192	114	253	70	86	99	112	44	179	7848	164	15	179
84	92	229	234	172	123	112	98	103	184	239	86	125	223	205	123	7848	166	15	181
94	37	104	234	99	171	141	192	75	29	229	224	188	28	232	66	7848	131	15	146
16	205	8	220	167	153	81	225	133	8	160	200	250	65	42	92	7848	157	15	172
34	107	9	17	99	123	141	201	77	172	229	245	218	65	168	237	7848	136	13	149
57	87	207	100	172	83	112	223	41	165	239	145	182	112	42	193	7848	142	13	155
43	214	49	64	32	184	24	93	176	192	210	86	100	112	65	179	7848	150	9	159
70	113	104	11	239	251	201	135	103	206	52	49	246	245	65	248	7848	138	11	149
84	92	229	248	47	230	246	209	221	206	240	4	125	254	92	37	7848	152	11	163
84	137	175	148	2	193	211	225	41	29	179	189	68	112	211	248	7848	163	11	174
137	137	207	11	213	153	214	93	133	38	236	246	125	172	44	140	7848	142	13	155
72	137	175	220	47	230	63	90	41	192	130	31	182	182	211	168	7848	133	15	148
154	107	191	248	172	69	231	209	125	98	70	70	85	223	70	151	7848	158	17	175
158	234	175	112	213	184	63	223	228	172	70	86	175	254	65	168	7848	144	17	161
57	13	20	112	167	251	201	98	103	148	239	14	156	211	44	151	7848	145	15	160
34	20	104	177	2	173	81	234	228	131	179	224	100	182	232	37	7848	150	15	165
84	1	8	96	239	123	163	167	201	172	229	219	106	48	92	179	7848	173	15	188
84	234	164	64	224	123	201	225	41	172	229	244	188	223	44	66	7848	137	11	148
130	25	104	220	2	153	214	106	47	206	33	119	156	112	76	37	7848	146	13	159
130	212	8	11	143	47	23	93	41	8	240	31	68	211	76	151	7848	141	15	156
29	72	39	17	57	184	231	208	103	84	86	224	246	182	206	45	7848	134	15	149
154	214	39	11	96	199	141	201	125	148	236	49	156	194	206	237	7848	137	15	152
