43	222	4	48	184	255	139	244	179	35	15	16	37	226	17	253	7848	131	13	144
43	172	151	181	105	85	46	150	255	16	125	196	69	187	36	83	7848	139	11	150
35	79	182	222	199	10	209	132	180	52	15	253	81	140	185	193	7848	155	15	170
91	62	213	105	117	175	230	13	15	237	159	189	173	233	251	151	7848	137	11	148
43	3	114	201	117	67	176	222	128	52	245	18	69	139	37	164	7848	170	15	185
142	32	111	109	117	237	140	202	73	237	56	109	91	55	172	218	7848	149	19	168
202	163	151	48	121	238	50	222	108	147	125	146	119	27	68	106	7848	144	19	163
35	198	132	105	222	63	158	21	255	148	245	113	214	140	105	83	7848	147	17	164
29	172	118	250	96	150	88	46	180	145	234	113	3	55	222	143	7848	153	19	172
102	32	4	233	194	255	230	252	86	231	90	176	69	206	137	185	7848	126	11	137
102	3	209	221	121	178	50	134	22	145	159	113	191	248	49	193	7848	136	11	147
202	172	4	181	2	67	200	46	56	148	30	16	37	117	49	91	7848	156	13	169
226	177	210	181	211	237	46	156	128	104	118	102	142	134	199	77	7848	166	17	183
121	3	43	250	80	175	139	150	40	36	159	89	202	117	210	185	7848	130	17	147
113	93	4	105	117	115	40	215	180	196	229	215	11	27	36	145	7848	137	13	150
120	203	191	201	136	46	158	58	10	233	90	99	37	30	17	106	7848	153	11	164
171	169	114	14	171	237	88	244	86	231	27	130	191	30	199	63	7848	141	17	158
147	93	191	105	167	10	165	104	73	16	161	203	91	224	17	204	7848	138	17	155
43	135	111	26	105	249	243	156	128	148	234	64	11	117	132	91	7848	155	21	176
43	3	111	153	54	94	209	150	40	36	30	176	37	206	68	193	7848	142	11	153
29	62	252	48	86	175	138	244	214	191	56	203	37	27	63	63	7848	139	17	156
241	107	151	201	105	63	158	21	255	16	161	213	81	233	172	91	7848	138	15	153
120	172	191	250	159	178	207	129	86	241	56	155	65	75	215	145	7848	165	13	178
141	14	191	233	171	63	200	129	15	196	30	113	119	213	17	253	7848	133	13	146
226	79	12	221	54	250	232	13	124	145	56	189	3	90	132	164	7848	136	13	149
171	169	143	153	2	115	243	43	141	231	118	39	191	224	49	91	7848	132	17	149
226	163	114	107	105	175	243	57	86	16	234	113	37	213	210	77	7848	168	13	181
147	79	252	221	105	115	138	104	22	191	143	207	34	90	210	77	7848	151	23	174
241	169	181	133	199	46	230	252	73	147	172	89	119	140	219	24	7848	140	11	151
113	107	252	239	136	48	232	156	128	198	56	155	252	248	132	24	7848	149	13	162
163	255	148	14	2	150	232	43	180	233	146	64	91	206	105	204	7848	159	21	180
35	32	12	48	194	215	209	215	10	231	30	189	91	80	102	145	7848	157	17	174
163	255	182	221	167	238	140	150	179	151	118	203	253	140	36	83	7848	157	19	176
141	255	210	14	80	48	165	252	56	198	118	207	3	253	215	60	7848	152	15	167
113	3	43	176	52	34	140	150	86	230	229	16	54	224	132	83	7848	155	15	170
163	254	111	250	222	237	138	58	108	241	146	64	69	187	68	193	7848	139	11	150
141	198	114	222	199	46	207	46	8	190	159	207	65	233	210	145	7848	158	15	173
54	133	213	181	167	175	113	46	255	36	15	253	173	233	215	63	7848	137	17	154
141	32	213	182	86	255	209	134	141	241	30	113	252	224	37	185	7848	137	17	154
100	169	181	48	54	212	147	235	86	230	245	18	34	80	37	91	7848	178	11	189
102	32	12	70	80	237	176	222	73	35	30	189	202	117	245	83	7848	142	17	159
54	133	111	26	222	249	243	244	255	16	15	18	253	80	199	83	7848	162	23	185
147	169	16	239	222	237	200	134	86	147	229	146	173	213	185	193	7848	121	15	136
91	203	182	181	2	212	140	252	40	233	90	64	37	134	17	118	7848	150	13	163
43	254	4	181	96	237	165	150	56	230	234	109	3	139	251	77	7848	145	13	158
147	133	43	14	2	46	139	129	141	35	161	196	37	139	102	152	7848	145	15	160
163	172	115	26	96	206	243	46	141	190	15	89	69	139	105	91	7848	141	15	156
120	133	4	201	2	215	139	46	10	147	229	18	202	226	185	83	7848	138	13	151
67	166	114	48	171	63	46	222	73	151	30	213	142	253	36	60	7848	130	15	145
29	172	43	107	194	250	165	13	128	190	161	113	191	80	210	83	7848	152	9	161
100	32	118	181	136	34	40	104	60	104	159	189	45	206	199	143	7848	171	15	186
91	169	43	109	105	63	138	161	73	16	143	146	81	75	215	63	7848	154	19	173
226	14	115	181	77	178	46	202	179	198	146	113	173	242	37	118	7848	142	11	153
226	3	143	221	222	255	50	43	10	198	229	99	81	213	245	185	7848	145	17	162
202	133	148	14	184	34	230	161	22	237	118	207	45	210	105	185	7848	134	19	153
141	177	111	153	105	255	209	202	53	84	30	253	117	139	63	46	7848	153	13	166
171	166	181	105	136	212	46	46	60	52	15	189	37	27	251	151	7848	140	11	151
102	245	132	48	199	206	147	222	255	190	245	18	65	233	172	106	7848	127	11	138
171	93	16	233	86	48	88	150	8	16	159	155	252	187	102	143	7848	132	13	145
102	93	253	233	2	212	50	13	10	52	56	215	54	226	37	83	7848	138	19	157
141	62	253	181	171	206	139	202	15	35	229	203	37	187	215	46	7848	128	11	139
54	222	12	239	194	175	46	129	255	190	159	146	69	248	137	164	7848	159	17	176
54	172	151	221	184	175	138	43	108	241	234	176	11	206	68	118	7848	142	11	153
54	79	151	176	167	249	200	161	60	198	65	253	91	187	185	218	7848	154	9	163
35	245	252	250	121	238	209	58	214	241	65	109	37	55	63	204	7848	147	17	164
67	62	151	153	222	206	232	132	86	151	229	203	214	27	49	185	7848	138	13	151
185	169	253	250	211	34	139	235	214	151	229	109	191	30	137	83	7848	138	15	153
67	203	143	222	80	178	140	150	53	190	143	99	142	134	132	77	7848	156	17	173
226	93	43	176	117	94	232	171	180	196	30	196	252	206	63	24	7848	162	9	171
142	163	181	182	80	150	243	43	183	36	245	155	142	27	63	185	7848	145	17	162
43	198	181	133	159	215	176	252	86	198	159	203	81	187	37	91	7848	145	17	162
113	135	143	70	199	115	207	46	15	148	15	196	3	75	185	151	7848	154	13	167
241	203	115	114	171	46	158	244	179	84	65	89	117	30	151	24	7848	153	13	166
141	133	209	181	96	63	209	21	128	145	234	113	91	210	199	193	7848	140	13	153
100	3	209	182	2	63	230	57	255	16	161	16	3	140	17	24	7848	134	11	145
100	79	43	233	105	115	46	161	180	241	15	203	11	27	245	145	7848	128	13	141
226	255	111	222	105	250	139	13	10	148	65	39	3	242	251	143	7848	151	17	168
120	32	114	70	86	34	88	244	183	190	146	155	65	224	63	151	7848	148	13	161
121	79	252	233	222	238	138	150	53	84	172	189	37	117	185	185	7848	134	17	151
141	222	181	182	105	212	232	46	60	196	56	207	37	117	36	77	7848	146	15	161
202	166	114	133	86	249	230	235	214	16	27	113	191	248	222	145	7848	137	9	146
202	79	252	239	52	10	40	129	124	191	65	16	11	210	132	46	7848	123	11	134
67	32	252	105	80	94	138	252	40	147	229	99	11	139	37	143	7848	133	11	144
43	79	253	14	117	206	209	252	73	190	15	253	81	210	137	204	7848	135	17	152
91	62	118	222	199	237	138	235	128	233	234	99	202	139	215	44	7848	143	11	154
121	255	252	239	211	34	176	58	108	233	172	64	65	213	199	152	7848	140	15	155
