189	163	209	159	252	148	70	149	39
215	240	226	95	21	246	124	89	39
46	240	209	194	21	203	70	89	40
125	163	134	95	20	203	146	192	40
215	240	212	87	252	101	70	149	40
125	163	64	194	20	203	82	149	40
189	154	212	159	20	148	124	192	39
215	240	134	1	39	203	82	192	40
215	163	226	95	39	40	146	149	39
215	159	134	95	21	203	124	192	40
125	139	134	159	21	203	124	89	40
189	240	212	95	21	246	82	149	40
46	159	209	95	20	148	82	90	40
215	139	134	87	20	148	124	149	41
63	159	209	87	252	40	146	192	40
189	240	226	159	93	246	82	208	40
189	240	134	87	39	246	82	208	41
125	139	134	1	39	101	70	89	41
189	159	134	1	39	101	70	208	40
46	154	64	194	21	101	146	90	41
245	215	209	146	205	241	119	25	40
221	240	64	19	205	180	22	228	40
51	139	163	31	39	180	82	25	40
245	215	224	31	39	131	119	208	39
245	154	64	1	23	180	119	89	39
157	139	131	31	117	180	124	228	41
245	163	224	95	23	42	82	228	40
51	139	163	1	23	42	124	208	39
221	240	131	1	23	228	82	208	40
245	163	131	19	117	241	22	25	39
245	139	163	1	39	228	124	228	40
221	215	163	31	205	228	22	89	38
245	139	209	19	39	42	124	25	41
46	139	64	95	39	131	22	25	40
221	240	64	31	205	131	22	208	40
46	215	224	31	205	131	146	208	39
245	163	224	95	39	241	146	149	40
46	240	64	1	86	241	146	89	39
245	215	64	31	23	180	124	228	40
46	154	163	146	86	180	22	228	40
83	219	71	18	97	180	146	196	40
83	210	71	1	97	42	78	149	40
83	219	224	95	23	180	18	25	39
181	163	163	18	126	241	18	196	40
83	163	224	95	23	4	28	149	40
83	219	224	95	126	180	18	149	40
38	219	224	1	97	42	28	89	39
145	130	163	95	205	241	28	25	39
253	210	209	50	117	241	119	25	39
38	163	224	222	97	42	146	242	40
38	210	71	1	126	180	18	25	40
145	163	211	50	97	198	28	149	40
83	210	224	222	23	4	146	196	40
145	219	209	50	205	180	119	89	41
83	130	211	18	97	4	146	196	40
181	219	209	50	23	180	119	196	40
38	163	209	222	205	180	119	196	43
181	219	71	222	126	180	18	242	39
253	163	209	1	205	241	18	242	39
38	219	224	50	126	241	78	196	38
124	219	247	1	63	4	153	89	40
152	194	212	95	87	241	61	25	40
90	219	193	222	87	254	61	242	40
124	219	119	95	34	241	48	242	40
124	219	168	222	205	162	153	196	40
90	219	212	38	63	162	78	209	40
38	170	212	222	63	254	153	89	40
124	163	168	222	23	254	48	209	40
124	170	168	1	205	254	153	25	40
90	219	119	222	23	241	153	25	39
152	219	119	222	63	4	78	242	40
152	219	247	162	87	4	61	209	41
176	194	247	38	34	241	78	196	40
90	219	212	38	34	180	153	89	38
176	219	212	1	63	162	151	242	40
38	219	247	162	205	180	151	196	40
124	219	193	95	87	4	61	89	40
90	170	247	1	205	180	151	242	40
152	219	193	162	23	241	151	25	39
176	219	119	38	63	254	48	196	40
83	187	218	1	23	241	245	25	40
172	210	91	114	117	241	16	196	41
253	219	207	1	117	4	245	247	40
172	163	207	1	126	4	16	196	40
38	219	218	234	23	42	16	247	40
83	210	207	1	117	4	90	247	41
38	210	91	114	69	42	18	89	40
38	187	231	178	97	4	146	89	41
83	210	218	114	117	241	245	196	40
38	210	163	178	126	4	90	247	41
145	146	207	1	69	42	146	167	41
145	163	207	1	126	198	146	89	40
172	210	163	1	117	241	16	167	40
83	219	163	178	23	4	18	89	40
145	187	91	86	126	4	18	89	41
38	163	218	86	117	241	16	167	40
172	219	91	114	23	42	146	167	39
83	219	91	178	69	241	146	89	40
38	219	231	234	117	42	16	25	40
172	163	218	114	23	198	16	167	40
83	91	71	193	61	42	66	25	40
83	210	224	193	49	49	158	215	41
61	137	163	193	49	4	78	215	44
61	137	208	193	61	198	119	121	40
61	91	209	18	23	49	212	100	40
253	210	209	95	23	180	66	215	40
38	83	163	95	49	4	158	100	39
83	83	71	95	126	4	212	215	40
253	137	224	146	23	42	212	121	40
61	163	163	193	61	4	78	226	41
61	91	71	210	205	4	66	25	41
38	91	224	95	126	49	66	25	41
83	210	224	193	126	180	212	25	39
83	163	209	210	61	42	158	25	40
253	137	208	95	126	180	119	215	40
253	210	71	193	205	180	212	100	40
253	137	224	193	126	49	78	121	40
38	83	71	193	49	4	66	215	40
38	83	208	210	23	198	78	25	40
241	137	208	146	49	49	212	100	40
228	215	211	18	147	241	28	85	40
228	215	71	194	193	8	28	151	39
83	134	224	1	147	58	92	85	39
83	201	211	1	193	8	28	91	40
209	201	224	95	221	58	18	196	40
188	201	71	194	221	8	101	85	40
83	227	71	1	147	198	28	151	39
209	219	71	95	147	241	18	85	40
209	215	163	194	147	241	18	151	38
209	134	71	194	117	198	148	196	40
209	201	211	18	193	52	101	196	41
209	134	211	194	221	8	148	85	41
38	219	71	18	193	8	92	196	41
83	219	163	1	193	241	18	151	40
228	219	211	18	126	58	148	85	41
228	201	147	1	147	8	148	91	40
83	134	224	18	221	52	148	85	39
228	201	147	1	117	8	28	196	40
228	215	147	95	117	52	101	196	41
83	215	147	50	221	8	18	85	40
181	130	227	222	23	104	71	185	40
38	217	71	18	23	180	146	185	40
145	130	227	18	205	179	71	242	40
124	217	71	18	102	180	28	149	39
181	161	155	18	117	64	146	149	40
181	130	129	27	225	64	94	196	41
38	211	129	18	225	104	18	242	41
181	219	71	18	23	180	28	196	39
65	219	224	18	23	38	146	196	41
38	217	71	119	117	64	71	242	41
181	217	71	119	205	104	28	196	40
181	130	155	222	23	104	94	219	40
181	219	227	18	205	64	94	149	39
65	211	129	27	225	104	94	219	40
181	161	227	119	102	104	18	219	40
38	161	227	18	117	38	146	242	41
181	130	155	18	117	64	28	219	40
181	219	227	18	102	180	146	242	39
65	211	224	222	225	179	18	149	40
145	217	155	119	225	104	18	242	41
75	163	163	85	97	241	22	25	39
241	210	209	219	54	42	22	159	40
241	219	163	66	114	214	28	25	39
75	210	209	8	97	214	23	159	40
241	210	209	8	54	214	28	159	40
213	163	219	66	97	180	207	242	40
213	219	219	66	54	42	28	25	39
213	219	224	114	245	42	119	242	40
75	219	209	85	100	4	28	159	40
62	163	209	85	97	4	22	242	39
213	130	86	8	114	4	207	194	40
213	163	163	219	100	180	28	25	39
85	219	163	114	54	42	119	25	39
75	219	224	66	100	180	207	25	40
75	219	86	85	97	241	119	159	39
213	219	219	8	54	241	23	159	40
213	219	86	66	54	180	119	25	40
213	210	219	85	100	4	28	242	40
241	163	219	85	100	241	119	25	40
62	130	224	219	245	180	28	194	40
176	130	71	126	126	241	119	196	39
110	200	163	126	126	241	5	242	40
110	130	71	126	203	180	126	89	39
79	130	211	25	203	241	18	89	41
29	39	209	43	203	42	146	196	40
110	200	71	25	126	5	5	5	41
145	219	163	18	23	180	146	196	41
110	130	163	25	203	42	146	242	41
110	219	163	18	23	42	119	5	40
29	219	224	18	126	241	146	5	40
79	130	163	25	126	198	18	196	40
110	130	163	19	23	241	119	242	41
145	200	211	43	203	198	119	242	40
110	39	224	19	97	198	18	25	41
145	219	71	25	23	198	146	5	39
176	219	211	126	126	198	146	242	41
79	200	71	25	203	180	18	196	40
29	39	209	126	203	241	126	25	38
29	39	211	43	23	5	5	89	40
176	219	209	126	97	5	18	25	41
177	219	224	18	39	4	78	89	40
253	235	163	127	117	241	18	149	41
177	157	69	127	126	241	78	25	39
38	235	209	222	126	241	146	242	41
177	219	209	18	79	4	97	242	41
38	235	69	50	126	202	97	89	40
83	157	224	50	126	180	28	89	40
38	210	163	18	97	4	18	25	40
253	210	69	50	79	42	97	25	41
253	219	209	50	126	202	78	149	40
177	130	224	50	97	180	97	89	39
253	130	224	193	126	180	97	196	40
177	210	209	193	117	4	28	242	40
38	157	209	222	97	4	18	196	39
83	210	163	50	39	4	18	196	40
83	235	209	193	39	42	97	89	41
38	210	224	127	97	202	97	25	39
177	130	209	50	97	202	146	196	40
181	157	209	50	79	241	146	25	41
253	157	69	18	126	4	146	196	40
83	251	199	77	23	180	146	25	39
83	163	199	50	126	220	26	242	40
128	218	127	77	89	220	26	215	39
128	163	224	49	126	253	146	25	39
128	163	135	222	142	38	82	242	40
83	218	209	222	119	180	87	242	41
121	218	127	50	119	253	82	215	41
174	219	127	18	89	253	87	77	40
181	136	135	77	142	180	26	215	39
121	219	127	50	89	220	82	196	41
128	163	135	18	142	253	26	25	40
128	163	135	77	142	1	95	25	40
121	163	209	49	89	253	82	25	40
181	163	135	18	142	180	146	242	41
83	163	209	50	126	1	82	215	41
83	218	199	18	142	220	146	196	40
121	219	224	50	89	180	146	77	40
83	163	199	77	126	253	26	77	40
181	219	209	50	126	38	87	242	40
181	219	135	77	23	38	87	196	40
23	155	224	95	205	245	113	25	40
23	203	211	161	89	42	146	25	40
145	147	224	95	205	4	90	25	40
83	203	224	35	89	193	113	229	39
145	147	163	95	120	198	146	89	39
181	203	195	222	89	193	0	198	40
83	155	211	161	120	42	0	149	40
145	147	71	95	89	193	18	229	41
23	163	224	2	205	4	146	25	39
83	163	195	2	51	198	18	25	41
83	147	195	2	205	245	18	229	41
