89	135	135	135	216	153	54	231	2	0
11	85	206	135	37	147	54	204	2	0
64	135	97	135	216	147	74	204	2	2097152
172	163	200	36	37	151	37	204	2	262144
172	91	135	146	37	153	54	71	2	67108864
172	85	135	17	88	147	74	71	2	34603008
89	91	200	36	111	153	37	77	2	0
94	163	97	150	88	146	54	97	2	0
11	135	200	150	191	153	47	71	2	0
172	85	135	146	216	221	54	231	2	2
11	135	200	176	109	221	8	77	2	16384
64	202	200	215	21	146	37	103	2	2147483647
111	85	102	44	21	151	112	231	2	0
11	135	102	154	21	220	47	103	2	67108864
141	135	200	176	88	146	37	97	2	0
89	163	157	44	88	151	8	97	2	0
89	135	206	44	21	220	47	103	2	0
89	163	157	44	88	243	8	103	2	0
141	91	97	154	109	243	112	231	2	0
11	85	102	154	88	146	47	204	2	0
64	181	200	61	216	221	157	89	2	0
172	181	200	61	191	157	37	115	2	0
108	79	201	6	37	146	157	167	2	0
108	94	123	145	78	151	74	89	2	0
64	94	200	61	216	221	29	142	2	0
108	94	201	150	191	151	157	111	2	512
65	94	201	150	37	157	54	89	2	0
11	181	201	61	37	146	37	167	2	0
64	79	126	17	111	151	74	115	2	0
11	91	200	61	37	146	54	167	2	0
172	94	150	18	191	196	174	238	2	0
64	215	79	36	191	138	47	231	2	0
104	131	97	18	136	147	102	71	2	0
172	91	255	18	96	155	47	238	2	536870912
47	94	255	143	36	138	74	71	2	0
64	215	150	18	96	155	174	71	2	134217856
94	215	150	143	36	153	37	71	2	0
94	91	79	18	96	153	102	231	2	8192
47	163	97	36	96	196	174	106	2	4718592
172	91	150	36	96	155	47	71	2	0
30	72	168	68	88	221	55	93	2	4096
172	227	97	128	239	147	55	42	2	0
47	227	97	150	239	221	55	42	2	0
30	91	168	143	36	150	38	71	2	288
64	131	203	150	237	164	78	93	2	128
30	163	180	128	88	221	38	231	2	0
47	72	203	150	237	147	36	71	2	262144
120	91	203	150	239	164	78	238	2	0
64	227	180	68	88	153	78	71	2	0
47	91	203	68	239	164	38	71	2	0
47	27	170	143	33	164	31	238	2	16384
47	193	170	201	33	153	58	238	2	67108864
126	193	180	84	237	153	9	238	2	0
126	193	180	167	153	164	102	71	2	0
172	96	170	128	33	147	102	238	2	0
82	193	170	84	239	153	58	71	2	134217728
172	227	100	84	237	252	9	231	2	0
126	230	100	128	239	153	9	71	2	0
47	96	170	128	33	150	31	42	2	0
47	230	180	128	33	252	31	71	2	8224
174	227	97	128	36	221	74	231	2	0
89	131	97	150	231	153	101	231	2	0
30	227	97	134	220	178	36	79	2	1024
204	227	72	134	231	221	74	238	2	0
89	163	52	128	36	221	69	74	2	0
30	73	52	150	36	153	69	221	2	1073741824
89	91	52	201	88	140	101	74	2	0
89	227	211	201	220	221	74	74	2	536870912
204	163	72	128	220	178	74	79	2	0
204	227	52	134	36	140	36	231	2	0
47	72	180	192	237	147	78	71	2	0
172	99	63	78	239	147	44	93	2	1073741824
47	72	63	201	218	147	36	168	2	0
47	72	180	192	239	121	78	93	2	64
47	227	203	201	237	150	36	42	2	0
80	163	180	20	82	193	36	42	2	0
64	91	203	201	36	121	44	71	2	131108
64	99	180	137	237	32	74	93	2	0
47	163	97	201	237	147	74	71	2	0
64	72	180	20	82	147	74	71	2	0
14	91	20	128	88	187	100	42	2	0
165	129	193	128	219	148	36	109	2	0
165	105	41	68	219	148	200	231	2	0
47	91	193	68	153	187	181	231	2	512
47	91	97	143	219	187	36	238	2	131072
47	105	41	128	68	153	100	109	2	0
165	105	97	143	68	86	36	71	2	0
64	129	168	68	153	148	200	109	2	201326592
14	129	20	128	88	153	100	231	2	1024
64	129	20	68	88	153	100	71	2	0
120	163	168	201	88	153	36	42	2	0
172	121	156	68	165	164	55	83	2	0
172	250	73	150	131	150	55	205	2	64
29	72	73	201	4	233	55	42	2	0
64	72	168	129	232	153	55	205	2	0
64	250	73	201	88	153	74	102	2	16384
172	121	203	68	165	164	74	42	2	64
120	163	156	143	88	150	78	42	2	8388608
29	131	73	201	232	233	74	102	2	1073741824
174	72	73	129	4	153	14	42	2	128
120	121	227	143	165	38	55	118	2	0
