184	30	156	193	190	141	42	226	74	51	178	220	187	129	96	99	2	0
184	74	156	230	17	182	190	226	70	89	178	16	43	65	96	75	2	0
91	157	116	109	17	195	190	202	17	51	152	16	141	163	38	192	2	0
66	157	156	109	119	80	190	202	70	51	206	152	247	163	220	99	2	8
4	30	116	39	246	195	75	227	219	89	56	152	43	65	38	192	2	0
66	30	215	230	17	3	190	185	17	186	206	152	187	50	38	99	2	8388608
37	82	116	230	246	141	199	227	70	235	178	151	135	65	96	75	2	0
66	30	179	230	243	182	42	227	70	24	178	16	247	129	195	115	2	0
91	226	156	109	17	80	42	143	70	24	56	0	135	163	96	115	2	0
66	157	215	109	243	3	81	185	70	235	206	152	141	187	96	192	2	0
184	126	150	193	119	141	47	227	177	27	56	154	247	242	57	67	2	64
184	18	156	39	228	86	204	47	219	27	136	154	157	242	48	25	2	0
91	202	147	39	228	3	180	226	177	51	126	151	235	242	154	99	2	0
66	202	116	39	119	195	88	161	219	89	126	154	157	242	48	25	2	16
66	82	135	193	228	195	180	227	253	51	126	5	157	67	48	192	2	0
164	126	156	230	228	3	88	226	177	51	154	151	187	67	103	75	2	0
66	155	150	230	228	86	75	227	70	27	126	154	187	67	103	67	2	0
4	18	135	193	119	18	204	47	83	139	136	22	187	67	154	25	2	0
184	82	135	39	119	141	204	47	253	139	88	151	179	66	48	99	2	0
91	202	147	193	8	86	47	47	177	27	136	254	235	242	195	25	2	69632
91	82	17	32	119	3	73	47	83	205	56	150	187	242	96	192	2	0
164	242	150	39	156	143	203	226	84	186	56	5	247	43	96	75	2	33554432
154	126	86	32	119	3	47	161	84	51	56	151	222	43	57	192	2	0
66	242	17	193	250	195	73	47	84	186	111	151	222	7	57	75	2	0
91	242	128	39	156	20	180	161	84	186	56	154	187	7	44	65	2	2147483647
154	242	150	39	119	3	75	226	219	186	216	247	187	67	58	99	2	0
154	202	150	40	228	94	203	47	83	65	111	5	247	7	96	192	2	0
154	242	157	230	250	20	180	226	197	186	40	150	187	139	57	75	2	525312
164	242	17	230	250	143	180	47	84	51	56	150	247	67	58	192	2	0
91	126	86	40	250	3	47	47	219	186	216	151	247	67	194	192	2	4194306
83	192	150	162	250	142	180	226	241	51	40	247	178	43	29	75	2	16777344
66	242	220	37	92	195	47	161	219	121	111	164	178	7	96	33	2	0
142	70	177	40	124	142	73	161	84	121	12	223	178	90	222	75	2	0
83	144	177	135	124	142	205	161	219	205	40	142	173	139	222	225	2	0
