111	93	117	164	159	48	191	20	5	68	233	57	163	51	177	243	191
213	49	25	63	67	29	13	48	41	249	77	23	163	51	18	121	184
213	96	40	102	67	29	65	82	47	249	233	57	20	230	136	243	194
111	93	117	164	67	29	236	82	39	35	40	57	163	230	177	243	187
111	93	40	70	159	63	191	82	47	35	214	57	140	230	177	143	193
148	93	48	63	57	17	43	48	5	56	214	247	163	9	18	121	195
69	246	40	63	159	63	191	82	39	68	77	247	163	9	177	48	202
148	246	117	235	159	17	43	49	5	249	4	223	86	51	142	48	198
111	40	25	164	207	17	191	20	5	168	4	23	86	230	11	97	195
213	93	117	63	57	48	13	49	39	56	4	23	20	64	142	243	206
2	93	172	102	57	63	13	48	41	249	77	247	86	51	18	97	186
2	96	40	235	57	29	236	20	113	68	40	223	184	9	177	97	196
69	93	172	235	207	192	236	48	39	168	77	247	20	51	142	97	195
148	93	117	63	57	48	65	232	113	56	4	57	140	121	136	143	191
2	93	172	235	57	48	236	48	5	168	214	247	163	64	136	143	199
2	49	40	164	159	63	191	232	41	168	233	23	86	64	18	48	207
213	96	40	63	57	29	65	20	39	168	214	223	184	9	11	243	187
111	96	48	164	53	63	43	48	41	68	214	113	86	64	18	121	191
213	96	40	102	67	48	65	82	39	56	77	57	20	9	136	97	189
148	93	25	63	159	63	236	20	41	249	4	57	86	64	177	121	195
111	246	48	164	53	192	191	20	5	35	233	23	20	9	142	48	191
69	93	40	70	53	29	236	82	47	249	4	247	20	64	18	48	195
213	246	48	235	57	63	13	49	47	68	40	223	20	230	177	121	193
148	93	117	102	159	63	191	48	41	68	77	247	140	51	136	97	203
69	93	117	164	53	192	43	20	39	35	40	113	163	230	18	143	177
148	40	172	235	53	29	43	232	41	249	77	23	86	51	11	97	202
2	96	48	63	207	192	65	20	113	68	77	113	140	121	136	121	200
2	40	172	102	57	29	65	82	39	35	40	57	163	230	142	48	184
69	96	48	63	207	192	43	82	113	68	77	247	163	121	142	243	202
2	49	172	164	67	192	236	20	39	249	4	57	163	121	18	243	191
2	93	117	70	207	192	13	82	113	249	233	223	163	64	177	121	208
148	40	117	164	67	29	43	232	5	168	233	247	184	121	177	97	200
69	93	172	164	159	63	191	232	41	35	233	247	140	121	142	121	213
69	96	172	102	57	17	191	49	113	35	4	113	184	9	177	143	204
148	49	172	63	207	17	43	20	39	68	214	247	20	51	18	243	193
148	246	117	235	53	63	191	232	47	249	233	247	20	9	136	243	202
148	246	25	63	207	63	65	48	41	249	4	247	86	51	177	143	197
69	40	40	164	67	48	43	232	5	68	77	113	184	121	177	48	192
213	96	25	70	53	192	43	232	41	68	214	223	86	9	177	121	193
111	49	117	102	67	192	13	49	41	56	40	113	163	9	18	97	197
213	40	25	63	67	48	43	82	41	35	233	247	140	64	136	121	195
148	96	40	102	53	29	43	48	41	68	77	57	163	64	18	48	187
148	40	172	235	207	63	236	232	113	56	40	223	20	51	136	121	194
111	49	48	102	57	192	191	49	5	56	77	113	184	51	136	243	196
148	40	172	102	57	29	13	20	5	249	214	223	86	230	136	243	214
69	246	40	102	67	48	191	232	41	56	4	23	20	121	18	121	192
148	49	25	70	159	29	236	48	113	35	77	223	86	230	11	243	193
111	96	48	164	67	48	65	48	39	68	4	247	86	230	177	143	188
2	40	48	235	53	192	13	20	113	249	233	247	184	9	11	243	186
148	246	48	102	207	48	65	232	47	249	77	57	86	121	11	121	203
111	49	25	63	53	17	13	48	5	35	214	23	163	64	11	97	208
2	93	25	164	53	29	236	82	39	68	214	223	163	121	18	143	201
111	49	48	235	67	48	65	48	113	35	214	223	86	64	177	48	186
148	246	172	63	207	29	236	49	39	56	233	223	163	64	136	97	200
148	96	48	164	67	192	65	48	39	35	77	113	184	230	177	243	207
69	49	172	63	53	192	236	232	113	68	4	113	140	121	18	121	191
2	96	40	102	159	63	13	82	5	35	4	247	86	9	136	48	205
213	246	117	164	57	63	13	20	113	68	40	113	163	64	136	243	205
148	93	172	70	207	192	191	232	39	249	40	247	184	51	136	243	186
111	49	117	235	207	63	65	48	41	168	40	113	20	230	142	121	187
111	96	172	164	53	48	191	48	5	249	214	247	184	121	177	97	193
213	49	117	102	67	29	65	20	39	56	77	23	20	51	136	97	182
148	40	117	63	159	192	13	232	47	35	214	247	86	230	11	143	196
111	49	40	164	53	192	65	20	113	68	233	57	163	230	18	243	197
2	40	172	102	159	29	236	82	41	56	233	247	20	9	177	97	186
148	40	48	63	67	29	65	48	39	56	77	23	184	51	136	97	185
148	93	117	164	159	17	13	232	39	35	77	113	163	51	11	121	206
148	49	40	63	57	48	65	20	113	56	77	247	140	51	142	121	198
213	93	40	102	67	192	236	48	47	68	40	113	184	230	136	243	195
148	49	48	63	207	17	65	49	39	168	77	247	163	9	18	243	201
111	93	172	70	207	17	236	20	113	56	40	23	140	9	11	243	197
111	93	117	63	159	48	43	20	39	35	214	113	20	51	18	243	186
2	93	40	102	207	192	13	49	41	56	40	23	184	121	177	48	183
69	49	40	70	159	48	65	232	39	56	77	113	86	64	136	143	197
69	49	117	102	207	63	236	232	113	56	77	57	86	121	136	243	189
2	40	172	164	67	63	13	232	5	56	4	23	184	9	11	143	201
69	93	40	102	207	192	13	48	41	68	4	57	20	64	11	97	185
2	246	117	63	159	17	191	48	47	168	4	113	20	51	11	143	200
213	93	172	63	67	17	191	49	5	35	77	113	140	64	142	243	204
213	96	40	70	207	192	191	20	113	35	77	247	184	9	177	97	198
69	246	172	102	53	29	236	49	47	168	214	223	20	9	18	243	196
111	40	40	102	53	192	43	49	47	249	4	23	184	9	18	143	195
111	49	172	164	207	48	13	49	41	56	40	23	163	121	177	48	196
111	246	25	164	159	192	43	82	47	68	233	223	163	9	142	243	202
69	93	40	70	57	48	191	82	113	56	214	57	20	64	142	48	204
69	49	40	102	207	63	65	49	39	56	214	57	140	230	136	121	174
2	49	48	102	67	29	43	48	47	56	77	113	140	9	11	243	192
69	96	40	63	207	192	43	49	5	35	40	23	86	9	11	121	189
213	40	172	164	57	63	236	20	5	168	4	247	163	230	11	48	203
213	246	40	235	57	48	236	49	5	68	77	113	20	51	142	243	194
148	246	40	102	57	63	236	20	5	68	77	247	184	64	177	143	196
69	40	25	235	57	48	43	82	41	56	233	113	86	121	136	243	202
69	93	48	70	207	192	65	232	5	56	4	247	86	230	142	48	197
213	49	117	102	57	48	13	48	5	249	4	57	163	230	11	48	201
69	96	172	235	67	63	65	20	41	56	233	113	20	51	177	143	203
148	40	117	102	57	192	65	20	113	56	4	113	140	51	18	243	185
111	40	40	63	207	48	191	48	5	249	214	57	163	51	11	243	203
213	49	25	63	207	17	191	48	41	35	4	113	163	230	142	48	204
213	96	40	70	67	48	43	20	113	249	77	247	20	9	136	97	203
111	49	172	164	207	17	43	48	39	168	77	247	20	64	177	48	200
2	96	25	70	53	48	13	49	41	35	40	23	184	121	11	121	204
111	93	172	235	67	17	43	20	5	56	40	247	86	121	136	121	187
213	246	117	235	67	17	236	232	41	168	233	223	20	51	177	143	179
213	93	25	63	57	63	65	82	5	168	77	247	20	121	142	243	177
213	96	25	63	159	192	13	82	41	35	4	223	86	64	136	121	193
213	40	25	164	53	63	65	48	47	56	233	247	140	9	177	243	211
111	96	48	102	57	48	65	82	113	56	233	23	20	64	142	243	209
213	49	40	102	159	192	191	232	41	35	40	113	86	64	142	243	203
111	93	172	70	159	29	191	232	41	68	40	57	163	121	136	243	191
111	93	48	102	57	192	43	48	113	56	233	57	86	230	18	243	194
148	40	25	63	53	17	13	48	39	35	40	223	140	64	142	121	201
2	246	48	235	207	48	191	20	113	56	40	23	20	9	177	143	200
69	96	25	235	67	17	13	49	41	168	4	223	163	230	11	143	189
69	40	172	70	159	192	191	48	47	68	40	23	86	230	11	243	198
2	93	172	235	67	192	236	20	113	168	214	223	184	9	177	243	207
111	96	40	164	207	48	191	232	113	249	233	113	20	64	136	143	213
2	246	25	102	53	192	65	48	39	35	77	113	163	64	136	121	194
213	93	117	235	57	63	13	20	5	68	40	23	163	51	18	121	205
69	93	48	164	57	17	236	48	5	168	4	223	184	64	136	143	194
69	96	40	70	207	48	13	232	39	249	40	223	163	9	18	243	195
69	49	25	102	53	17	65	232	47	249	233	113	86	9	142	97	189
213	93	40	102	207	63	236	232	47	168	233	223	163	9	18	48	192
213	246	172	235	159	63	236	232	5	35	4	23	163	9	11	243	199
69	246	117	235	67	29	191	232	5	249	4	23	140	121	142	97	190
111	93	117	102	53	63	13	20	41	68	4	247	184	51	177	121	193
148	49	117	164	57	192	43	82	47	249	77	23	184	9	177	243	186
213	49	172	164	57	63	13	82	39	168	214	57	20	9	136	48	186
111	93	40	235	207	17	13	20	113	168	40	57	163	121	11	121	194
111	96	48	235	207	192	43	49	41	35	40	247	20	64	136	121	197
213	93	25	235	67	29	65	82	39	249	40	23	163	230	18	97	198
213	93	48	235	67	48	236	48	113	168	40	23	20	9	18	243	192
148	49	40	102	53	63	191	232	113	35	40	23	163	121	136	48	200
148	93	172	235	57	63	236	232	47	68	77	57	20	64	142	48	200
148	49	25	70	159	48	13	232	47	56	214	23	86	121	136	143	197
148	246	48	63	159	29	13	20	5	168	77	223	163	51	142	143	194
148	49	117	102	57	192	65	232	113	68	77	113	184	51	11	121	180
213	40	172	235	57	63	236	20	39	56	214	113	86	121	11	243	195
111	93	25	164	207	192	65	48	5	168	233	113	20	9	136	121	186
148	96	25	164	159	192	191	20	41	168	214	23	184	121	11	121	188
213	246	48	235	67	29	65	20	47	35	214	223	163	51	11	48	207
111	96	117	70	67	48	13	232	113	249	233	23	184	230	11	121	196
213	49	117	63	207	29	191	48	47	56	233	113	20	121	18	143	201
148	49	40	235	159	29	236	82	113	56	214	57	86	64	11	143	214
148	40	48	63	57	17	13	82	41	249	214	23	184	9	142	48	192
2	49	48	235	207	48	13	232	47	168	214	23	86	64	177	243	199
148	246	25	164	67	63	65	232	41	68	40	247	86	51	177	48	206
69	49	40	102	67	17	65	232	41	68	77	223	163	64	142	243	208
69	49	172	235	207	192	65	48	113	35	40	57	140	9	142	97	190
2	96	172	70	57	29	236	20	47	168	214	23	86	9	136	143	193
111	96	40	63	207	17	13	232	5	35	4	57	163	9	18	121	201
111	93	172	70	159	192	65	48	47	68	40	223	140	64	136	143	197
148	40	117	235	67	48	65	48	41	249	40	57	20	230	142	143	192
111	49	25	63	67	29	43	49	39	56	4	57	184	51	177	48	196
213	40	172	63	57	48	43	48	47	35	77	223	163	9	11	143	198
148	40	172	102	53	17	236	48	47	68	233	23	20	51	142	48	192
111	40	172	70	159	48	191	48	5	249	4	23	140	121	11	121	195
213	246	48	164	53	48	191	82	113	35	233	223	184	9	18	48	209
213	246	40	235	207	29	13	48	113	168	4	113	184	230	142	48	181
69	96	117	164	57	48	191	48	47	168	214	113	86	121	177	121	191
148	93	172	63	57	63	13	82	47	249	214	113	184	64	11	243	188
213	49	40	235	67	48	13	49	113	168	214	113	20	9	136	243	192
69	246	25	164	159	17	236	48	47	35	40	247	86	121	18	97	192
111	246	48	102	57	192	43	48	5	249	214	223	184	64	177	97	199
2	40	25	164	67	48	65	82	5	168	233	223	163	51	136	48	191
148	246	25	164	159	192	191	232	113	249	77	57	86	9	11	243	187
2	93	48	63	159	17	191	48	47	56	4	23	184	230	18	121	193
111	40	172	70	57	29	191	48	5	35	214	113	184	9	18	97	185
213	93	25	63	159	192	236	48	113	168	40	247	20	51	177	143	200
213	49	48	164	53	17	43	48	41	68	214	247	20	121	136	143	196
69	49	172	63	67	48	236	82	41	168	77	23	140	9	11	143	206
2	96	48	63	57	29	236	20	113	56	4	23	20	51	18	121	196
213	93	25	102	57	29	191	82	47	68	233	113	184	51	18	243	194
213	96	172	164	57	17	13	49	39	168	40	247	140	121	18	97	186
69	93	25	70	57	48	65	82	39	35	233	247	140	9	142	243	187
69	246	117	70	207	17	65	49	113	249	77	223	184	64	177	48	175
148	96	48	164	207	17	13	49	47	56	77	247	163	121	177	121	198
213	49	48	70	207	17	191	49	47	68	4	23	20	121	11	243	191
2	93	40	63	207	48	236	82	113	35	40	247	86	64	142	243	212
213	246	40	235	57	17	65	82	113	35	40	247	163	230	11	143	193
148	246	25	63	207	17	65	232	47	68	214	223	86	121	136	97	190
111	40	48	235	53	48	236	82	47	56	77	113	86	230	177	143	197
2	49	25	235	159	192	13	20	5	68	233	247	20	230	177	243	198
148	246	40	164	207	63	191	49	5	35	233	113	140	230	142	48	199
111	93	25	63	53	48	236	48	41	249	40	57	86	64	142	48	205
2	40	48	63	57	48	13	82	113	249	77	23	163	64	18	143	194
