189	13	151	115	11	193	94	71	205	15	12
250	142	75	193	101	23	1	243	193	77	10
188	183	13	13	101	43	156	188	164	99	11
144	224	223	115	124	249	176	188	164	67	11
253	224	13	11	124	8	1	70	164	67	12
145	72	151	11	146	228	40	14	10	246	11
82	183	173	13	146	220	80	214	205	67	10
242	183	173	122	49	30	23	35	149	242	12
253	129	192	208	49	23	247	243	164	144	9
242	28	223	208	11	146	176	214	164	144	10
144	224	83	13	11	146	106	243	164	242	11
250	176	192	11	28	228	23	13	205	144	11
250	224	75	122	221	193	23	70	130	242	12
217	129	200	11	221	8	23	243	10	246	10
207	157	243	115	146	8	40	188	164	236	11
253	28	151	171	124	168	23	70	192	236	10
250	224	200	13	124	30	176	14	191	99	12
250	157	190	193	229	146	176	214	192	246	12
242	13	83	115	146	228	94	14	193	67	12
207	22	200	103	221	249	176	243	205	236	11
82	72	75	104	11	8	1	70	10	242	11
82	183	13	171	49	43	40	214	164	246	10
188	157	243	193	101	43	176	243	192	67	12
253	224	243	115	190	228	40	71	149	89	11
250	72	173	171	190	220	40	13	149	254	10
144	157	13	103	11	30	40	14	191	99	11
242	13	13	63	124	249	40	214	10	77	9
250	157	75	115	101	43	1	188	193	67	10
250	157	13	63	146	30	1	35	10	15	12
189	224	200	171	101	168	176	13	228	254	11
82	28	13	193	11	168	13	70	149	15	10
250	129	243	103	229	30	1	35	10	254	10
207	28	223	193	101	249	1	14	164	242	11
144	28	243	171	101	8	23	188	164	77	10
189	28	190	115	11	228	94	243	10	99	11
144	224	13	13	146	146	13	188	205	99	9
144	183	13	122	11	249	40	214	192	77	9
253	28	83	13	28	30	106	14	10	254	10
242	183	192	11	146	249	176	14	149	242	11
217	142	192	104	101	193	13	71	191	89	12
188	28	173	11	28	43	156	71	191	89	12
217	72	243	122	101	23	1	53	228	15	11
250	183	200	193	11	220	13	243	191	15	9
217	28	190	104	101	220	94	70	205	15	10
242	157	223	11	49	249	156	243	193	246	11
217	22	75	103	221	23	106	243	164	99	11
253	224	192	171	221	168	176	71	149	246	11
242	224	151	63	190	30	23	70	164	254	11
253	176	75	11	221	228	106	188	191	15	9
145	28	190	208	101	249	247	14	205	144	12
188	72	243	115	190	228	156	243	164	254	11
188	13	190	13	221	168	94	71	205	67	11
207	183	13	193	49	43	156	243	130	246	11
145	224	200	208	101	228	247	243	164	246	10
189	28	75	103	101	193	80	13	164	15	11
217	176	223	122	124	30	80	35	205	67	10
145	142	190	11	221	43	176	14	205	144	11
207	22	13	171	221	168	40	214	192	99	9
188	129	75	208	124	249	247	53	228	144	10
188	183	200	115	229	249	40	71	10	99	12
189	142	192	13	229	249	176	71	191	67	11
207	129	223	208	190	193	1	243	228	89	12
189	129	192	122	28	146	106	243	164	99	10
82	13	223	104	221	249	1	214	205	67	10
250	72	151	122	229	30	176	35	130	144	11
242	157	173	104	146	23	106	35	164	15	12
82	22	223	193	11	146	40	35	164	242	10
82	183	13	103	28	43	23	214	10	15	11
250	224	243	208	28	249	156	70	193	99	10
144	183	83	122	221	193	80	188	193	246	12
189	157	192	122	190	193	23	35	193	15	9
82	72	190	193	146	220	156	14	193	254	12
144	22	83	13	221	146	247	14	10	89	10
145	129	173	193	146	146	80	188	164	144	11
82	157	200	13	101	146	156	35	164	242	10
144	176	190	11	229	8	1	71	164	67	11
189	13	243	193	146	8	106	35	205	236	10
144	176	75	104	221	228	106	35	191	236	11
250	176	83	13	229	220	80	243	164	99	11
250	157	13	104	101	8	80	188	192	254	11
189	176	243	11	146	168	13	188	164	242	11
250	28	243	63	146	30	13	13	130	67	12
189	13	243	104	221	249	156	243	10	89	12
253	157	192	115	190	43	23	13	193	236	11
242	176	13	13	11	8	23	71	10	89	10
250	13	190	208	221	23	156	243	10	236	10
188	22	192	193	190	30	94	13	164	77	9
188	72	151	115	221	220	156	243	164	236	11
188	129	13	115	49	23	176	53	192	77	10
253	183	192	115	221	23	176	35	228	144	11
253	157	223	171	101	193	94	13	205	15	10
82	72	75	63	221	168	176	243	164	246	11
145	224	243	63	190	30	176	243	192	242	10
82	129	13	193	101	193	106	35	164	246	11
250	129	75	193	146	220	13	188	130	99	11
242	224	223	122	101	228	94	35	193	246	10
207	224	190	208	28	168	40	243	191	246	11
250	176	190	11	101	228	80	243	149	77	10
242	142	190	171	28	23	106	71	228	254	11
250	157	83	208	11	249	156	70	193	15	12
250	28	192	103	146	30	40	71	205	254	9
82	176	151	171	221	168	80	13	130	254	10
207	176	190	11	101	23	1	14	191	242	10
82	157	243	63	221	23	156	13	130	246	12
145	224	13	103	49	146	247	35	164	67	11
144	183	75	11	11	193	23	243	149	236	11
82	224	173	11	11	193	247	188	10	67	11
207	183	223	63	11	228	106	214	205	246	10
82	28	13	11	11	8	1	53	192	242	11
207	183	83	11	101	146	80	53	205	77	12
253	72	200	193	229	220	80	188	130	67	10
82	129	151	122	146	146	40	70	149	67	12
253	129	75	103	229	8	106	188	193	89	12
145	72	83	208	221	228	247	188	149	254	11
250	13	173	115	146	220	1	53	149	246	11
144	13	75	115	229	43	176	214	149	77	10
82	28	192	103	28	228	40	53	192	246	12
82	28	75	104	229	23	13	243	130	67	11
145	28	13	115	101	146	23	53	130	67	10
82	157	192	11	101	193	13	53	192	99	10
253	224	223	115	124	146	247	214	191	99	11
144	13	13	193	28	249	80	53	192	254	11
250	176	223	193	190	43	94	188	130	89	11
207	142	83	122	28	146	23	214	10	15	11
207	28	243	208	221	30	156	243	205	15	12
189	13	173	103	101	8	106	35	205	67	11
242	129	200	193	28	8	40	188	228	144	11
188	224	200	13	190	23	156	214	205	15	10
82	22	75	115	49	30	80	71	164	254	11
242	224	151	63	146	168	13	53	130	89	11
253	22	83	122	124	146	156	14	149	144	11
253	72	83	63	221	220	80	53	164	99	12
250	176	83	11	146	249	176	243	10	254	11
145	183	200	63	229	146	247	14	192	242	9
82	176	192	13	101	249	13	14	192	236	9
144	28	151	63	28	146	94	14	228	15	10
253	129	190	193	28	228	13	13	191	67	12
250	157	13	13	124	146	23	243	130	144	11
253	13	223	122	101	23	176	53	10	67	11
188	13	190	208	146	220	23	14	149	89	11
250	22	223	171	221	23	94	214	205	236	10
188	129	243	104	146	249	176	71	191	144	10
253	13	200	115	124	193	106	243	193	144	10
145	183	223	13	101	193	176	14	228	15	10
250	157	151	171	229	43	40	243	228	254	11
250	142	243	13	101	168	247	13	191	77	11
82	157	83	115	190	43	247	70	193	236	9
82	129	190	208	124	168	156	214	191	77	11
144	142	75	193	190	228	1	13	10	77	11
145	72	173	63	229	228	13	70	130	15	11
207	142	223	208	101	43	80	13	149	89	11
188	13	192	193	11	8	13	35	164	67	11
189	224	13	193	190	23	247	35	10	246	10
242	28	173	11	190	228	106	214	228	77	11
145	129	13	171	11	43	13	214	149	89	12
