238 24 216 243 22 199 20 82 131 33 46 202 70 75 83 145	145
165 189 15 206 203 128 130 82 97 122 223 202 89 48 98 173	
165 44 216 49 149 226 20 84 68 107 166 122 155 175 210 46	
42 91 145 16 124 199 130 84 131 72 223 187 89 175 98 230	
42 24 227 179 203 39 98 82 80 107 151 202 172 75 116 32	138
131 44 216 206 22 199 20 210 80 33 223 189 89 173 210 32	
131 24 145 179 203 39 130 84 114 33 166 122 172 225 83 145	
238 44 145 49 203 226 130 143 97 72 46 187 172 75 210 230	
60 189 15 179 124 28 20 214 80 122 223 189 155 48 98 173	141
42 91 15 179 203 28 98 84 97 103 77 124 70 175 98 173	145
42 112 145 206 203 226 20 82 68 103 166 187 139 175 98 230	144
131 112 23 49 149 28 65 82 80 107 46 202 89 225 83 173	144
42 189 227 243 203 226 98 214 114 103 77 189 139 48 215 46	141
60 112 145 16 124 39 98 143 68 122 166 122 172 75 215 46	135
165 112 15 49 149 28 130 214 131 72 46 189 89 225 210 173	
238 91 216 179 124 199 187 143 97 72 166 124 139 225 210 32	135
42 24 216 49 22 128 20 82 114 122 46 122 139 225 210 173	159
60 189 23 49 174 128 98 84 68 103 151 202 89 175 210 32	
60 44 145 179 22 39 187 214 80 122 77 122 139 175 98 32	147
60 24 145 49 174 226 65 143 68 33 223 187 155 225 98 230	
131 91 145 179 174 226 130 210 68 103 223 202 70 75 83 145	
238 24 23 49 22 128 187 84 80 122 46 187 172 173 98 230	
131 44 216 16 124 128 187 210 131 122 151 122 139 175 215 230	136
42 91 145 243 174 39 65 210 68 33 166 187 70 173 116 173	143
131 189 145 206 174 128 98 82 80 122 77 122 89 48 116 46	158
131 189 23 206 124 226 130 210 131 103 166 187 172 48 116 145	128
42 112 216 49 124 28 65 214 80 103 46 122 155 75 83 173	
60 189 15 16 149 39 130 84 131 33 166 202 70 225 83 46	
165 91 227 16 22 226 98 143 68 107 166 122 155 48 116 145	143
131 44 227 243 22 226 20 214 131 33 166 202 155 48 116 145	
165 189 23 16 203 226 187 214 68 103 166 122 70 225 83 32	138
42 91 15 49 174 39 130 82 97 72 77 122 70 75 210 32	138
131 24 23 206 22 226 65 82 97 103 151 122 70 175 215 145	138
165 91 15 49 149 128 187 210 114 33 46 187 155 175 215 173	138
238 44 145 243 124 226 187 214 97 33 166 202 89 48 215 173	146
42 91 23 243 174 39 98 210 80 33 46 124 172 225 83 173	135
238 24 15 49 203 39 98 210 80 103 166 187 172 173 116 32	
60 91 23 179 124 226 20 143 114 72 151 189 70 75 116 46	
165 24 227 179 22 39 65 82 68 33 223 189 139 173 98 230	149
238 44 23 179 149 39 65 210 80 122 223 124 70 175 116 173	152
131 189 15 206 22 226 130 214 80 103 223 202 70 225 83 32	131
