--------------------------------------
Executions completed	Unique Outputs
               22650	            56
               22700	            56
               22750	            56
               22800	            56
               22850	            56
               22900	            56
               22950	            56
               23000	            56
               23050	            57
               23100	            57
               23150	            57
               23200	            57
               23250	            57
               23300	            57
               23350	            57
               23400	            57
               23450	            57
               23500	            57
               23550	            57
               23600	            57
               23650	            57
               23700	            57
               23750	            57
               23800	            57
               23850	            57
               23900	            57
               23950	            57
               24000	            57
               24050	            57
               24100	            57
               24150	            57
               24200	            57
               24250	            57
               24300	            57
               24350	            57
               24400	            57
               24450	            58
               24500	            58
               24550	            58
               24600	            58
               24650	            58
               24700	            58
               24750	            58
               24800	            58
               24850	            58
               24900	            58
               24950	            58
               25000	            58
               25050	            58
               25100	            58
               25150	            58
               25200	            58
               25250	            58
               25300	            58
               25350	            58
               25400	            58
               25450	            58
               25500	            58
               25550	            58
               25600	            58
               25650	            58
               25700	            58
               25750	            58
               25800	            58
               25850	            58
               25900	            58
               25950	            58
               26000	            58
               26050	            58
               26100	            58
               26150	            58
               26200	            58
               26250	            58
               26300	            58
               26350	            58
               26400	            58
               26450	            58
               26500	            58
               26550	            58
               26600	            58
               26650	            58
               26700	            58
               26750	            58
               26800	            58
               26850	            58
               26900	            58
               26950	            58
               27000	            58
               27050	            58
               27100	            58
               27150	            58
               27200	            58
               27250	            58
               27300	            58
               27350	            58
               27400	            58
               27450	            58
               27500	            58
               27550	            58
               27600	            58
               27650	            58
               27700	            58
               27750	            58
               27800	            58
               27850	            58
               27900	            58
               27950	            58
               28000	            58
               28050	            58
               28100	            58
               28150	            58
               28200	            58
               28250	            58
               28300	            58
               28350	            58
               28400	            58
               28450	            58
               28500	            58
               28550	            58
               28600	            58
               28650	            58
               28700	            58
               28750	            58
               28800	            58
               28850	            58
               28900	            58
               28950	            58
               29000	            58
               29050	            58
               29100	            58
               29150	            58
               29200	            58
               29250	            58
               29300	            58
               29350	            58
               29400	            58
               29450	            58
               29500	            58
               29550	            58
               29600	            58
               29650	            58
               29700	            58
               29750	            58
               29800	            58
               29850	            58
               29900	            58
               29950	            58
               30000	            58
               30050	            58
               30100	            58
               30150	            58
               30200	            58
               30250	            58
               30300	            58
               30350	            58
               30400	            58
               30450	            58
               30500	            58
               30550	            58
               30600	            58
               30650	            58
               30700	            58
               30750	            58
               30800	            58
               30850	            58
               30900	            58
               30950	            58
               31000	            58
               31050	            58
               31100	            58
               31150	            59
               31200	            59
               31250	            59
               31300	            59
               31350	            59
               31400	            59
               31450	            59
               31500	            59
               31550	            59
               31600	            59
               31650	            59
               31700	            59
               31750	            59
               31800	            59
               31850	            59
               31900	            59
               31950	            59
               32000	            59
               32050	            59
               32100	            59
               32150	            59
               32200	            59
               32250	            59
               32300	            59
               32350	            59
               32400	            59
               32450	            59
               32500	            59
               32550	            59
               32600	            59
               32650	            59
               32700	            59
               32750	            59
               32800	            59
               32850	            59
               32900	            59
               32950	            59
               33000	            59
               33050	            59
               33100	            59
               33150	            59
               33200	            59
               33250	            59
               33300	            59
               33350	            59
               33400	            59
               33450	            59
               33500	            59
               33550	            59
               33600	            59
               33650	            59
               33700	            59
               33750	            59
               33800	            60
               33850	            60
               33900	            60
               33950	            60
               34000	            60
               34050	            60
               34100	            60
               34150	            60
               34200	            60
               34250	            60
               34300	            60
               34350	            60
               34400	            60
               34450	            60
               34500	            60
               34550	            60
               34600	            60
               34650	            60
               34700	            60
               34750	            60
               34800	            60
               34850	            60
               34900	            60
               34950	            60
               35000	            60
               35050	            60
               35100	            60
               35150	            60
               35200	            60
               35250	            60
               35300	            60
               35350	            60
               35400	            60
               35450	            60
               35500	            60
               35550	            60
               35600	            60
               35650	            60
               35700	            60
               35750	            60
               35800	            60
               35850	            60
               35900	            60
               35950	            60
               36000	            60
               36050	            60
               36100	            60
               36150	            60
               36200	            60
               36250	            60
               36300	            60
               36350	            60
               36400	            60
               36450	            60
               36500	            60
               36550	            60
               36600	            60
               36650	            60
               36700	            60
               36750	            60
               36800	            60
               36850	            60
               36900	            60
               36950	            60
               37000	            60
               37050	            60
               37100	            60
               37150	            60
               37200	            60
               37250	            60
               37300	            60
               37350	            60
               37400	            60
               37450	            60
               37500	            60
               37550	            60
               37600	            60
               37650	            60
               37700	            60
               37750	            60
               37800	            60
               37850	            60
               37900	            60
               37950	            60
               38000	            60
               38050	            60
               38100	            60
               38150	            60
               38200	            60
               38250	            60
               38300	            60
               38350	            60
               38400	            60
               38450	            60
               38500	            60
               38550	            60
               38600	            60
               38650	            60
               38700	            60
               38750	            60
               38800	            60
               38850	            60
               38900	            60
               38950	            60
               39000	            60
               39050	            60
               39100	            60
               39150	            60
               39200	            60
               39250	            60
               39300	            60
               39350	            60
               39400	            60
               39450	            60
               39500	            60
               39550	            60
               39600	            60
               39650	            60
               39700	            60
               39750	            60
               39800	            60
               39850	            60
               39900	            60
               39950	            60
               40000	            60
               40050	            60
               40100	            60
               40150	            60
               40200	            60
               40250	            60
               40300	            60
               40350	            60
               40400	            60
               40450	            60
               40500	            60
               40550	            60
               40600	            60
               40650	            60
               40700	            60
               40750	            60
               40800	            60
               40850	            60
               40900	            60
               40950	            60
               41000	            60
               41050	            60
               41100	            60
               41150	            60
               41200	            60
               41250	            60
               41300	            60
               41350	            60
               41400	            60
               41450	            60
               41500	            60
               41550	            60
               41600	            60
               41650	            60
               41700	            60
               41750	            60
               41800	            60
               41850	            60
               41900	            60
               41950	            60
               42000	            60
               42050	            60
               42100	            60
               42150	            60
               42200	            60
               42250	            60
               42300	            60
               42350	            60
               42400	            60
               42450	            60
               42500	            60
               42550	            60
               42600	            60
               42650	            60
               42700	            60
               42750	            60
               42800	            60
               42850	            60
               42900	            60
               42950	            60
               43000	            60
               43050	            60
               43100	            60
               43150	            60
               43200	            60
               43250	            60
               43300	            60
               43350	            60
               43400	            60
               43450	            60
               43500	            60
               43550	            60
               43600	            60
               43650	            60
               43700	            60
               43750	            60
               43800	            60
               43850	            60
               43900	            60
               43950	            60
               44000	            60
               44050	            60
               44100	            60
               44150	            60
               44200	            60
               44250	            60
               44300	            60
               44350	            60
               44400	            60
               44450	            60
               44500	            60
               44550	            60
               44600	            60
               44650	            60
               44700	            60
               44750	            60
               44800	            60
               44850	            60
               44900	            60
               44950	            60
               45000	            60
               45050	            60
               45100	            60
               45150	            60
               45200	            60
               45250	            60
               45300	            60
               45350	            60
               45400	            60
               45450	            60
               45500	            60
               45550	            60
               45600	            60
               45650	            60
               45700	            60
               45750	            60
               45800	            60
               45850	            60
               45900	            60
               45950	            60
               46000	            60
               46050	            60
               46100	            60
               46150	            60
               46200	            60
               46250	            60
               46300	            60
               46350	            60
               46400	            60
               46450	            60
               46500	            60
               46550	            60
               46600	            60
               46650	            60
               46700	            60
               46750	            60
               46800	            60
               46850	            60
               46900	            60
               46950	            60
               47000	            60
               47050	            60
               47100	            60
               47150	            60
               47200	            60
               47250	            60
               47300	            60
               47350	            60
               47400	            60
               47450	            60
               47500	            60
               47550	            60
               47600	            60
               47650	            60
               47700	            60
               47750	            60
               47800	            60
               47850	            60
               47900	            61
               47950	            61
               48000	            61
               48050	            61
               48100	            61
               48150	            61
               48200	            61
               48250	            61
               48300	            61
               48350	            61
               48400	            61
               48450	            61
               48500	            61
               48550	            61
               48600	            61
               48650	            61
               48700	            61
               48750	            61
               48800	            61
               48850	            61
               48900	            61
               48950	            61
               49000	            61
               49050	            61
               49100	            61
               49150	            61
               49200	            61
               49250	            61
               49300	            61
               49350	            61
               49400	            61
               49450	            61
               49500	            61
               49550	            61
               49600	            61
               49650	            61
               49700	            61
               49750	            61
               49800	            61
               49850	            61
               49900	            61
               49950	            61
               50000	            61
               50050	            61
               50100	            61
               50150	            61
               50200	            61
               50250	            61
               50300	            62
               50350	            62
               50400	            62
               50450	            62
               50500	            62
               50550	            62
               50600	            62
               50650	            62
               50700	            62
               50750	            62
               50800	            62
               50850	            62
               50900	            62
               50950	            62
               51000	            62
               51050	            62
               51100	            62
               51150	            62
               51200	            62
               51250	            62
               51300	            62
               51350	            62
               51400	            62
               51450	            62
               51500	            62
               51550	            62
               51600	            62
               51650	            62
               51700	            62
               51750	            62
               51800	            62
               51850	            62
               51900	            62
               51950	            62
               52000	            62
               52050	            62
               52100	            62
               52150	            62
               52200	            62
               52250	            62
               52300	            62
               52350	            62
               52400	            62
               52450	            62
               52500	            62
               52550	            62
               52600	            62
               52650	            62
               52700	            62
               52750	            62
               52800	            62
               52850	            62
               52900	            62
               52950	            62
               53000	            62
               53050	            62
               53100	            62
               53150	            62
               53200	            62
               53250	            62
               53300	            62
               53350	            62
               53400	            62
               53450	            62
               53500	            62
               53550	            62
               53600	            62
               53650	            62
               53700	            62
               53750	            62
               53800	            62
               53850	            62
               53900	            62
               53950	            62
               54000	            62
               54050	            62
               54100	            62
               54150	            62
               54200	            62
               54250	            62
               54300	            62
               54350	            62
               54400	            62
               54450	            62
               54500	            62
               54550	            62
               54600	            62
               54650	            62
               54700	            62
               54750	            62
               54800	            62
               54850	            62
               54900	            62
               54950	            62
               55000	            62
               55050	            62
               55100	            62
               55150	            62
               55200	            62
               55250	            62
               55300	            62
               55350	            62
               55400	            62
               55450	            62
               55500	            62
               55550	            62
               55600	            62
               55650	            62
               55700	            62
               55750	            62
               55800	            62
               55850	            62
               55900	            62
               55950	            62
               56000	            62
               56050	            62
               56100	            62
               56150	            62
               56200	            62
               56250	            62
               56300	            62
               56350	            62
               56400	            62
               56450	            62
               56500	            62
               56550	            62
               56600	            62
               56650	            62
               56700	            62
               56750	            62
               56800	            62
               56850	            62
               56900	            62
               56950	            62
               57000	            62
               57050	            62
               57100	            62
               57150	            62
               57200	            62
               57250	            62
               57300	            62
               57350	            62
               57400	            62
               57450	            62
               57500	            62
               57550	            62
               57600	            62
               57650	            62
               57700	            62
               57750	            62
               57800	            62
               57850	            62
               57900	            62
               57950	            62
               58000	            62
               58050	            62
               58100	            62
               58150	            62
               58200	            62
               58250	            62
               58300	            62
               58350	            62
               58400	            62
