107	45	223	6	39	231	57	205	209	89	23
107	33	55	6	24	235	190	158	33	51	22
134	211	174	142	24	120	190	158	121	1	22
165	45	136	24	68	235	33	158	137	51	23
107	45	174	254	251	231	190	167	128	89	22
107	245	174	254	24	231	57	167	121	89	22
107	33	55	142	24	235	190	29	137	51	23
165	211	68	6	68	231	190	167	209	1	23
165	33	174	254	251	120	33	109	209	80	22
107	45	136	24	68	102	164	29	209	89	23
164	232	223	254	251	120	213	109	128	1	23
134	245	223	24	251	120	57	205	121	80	23
164	211	174	92	39	102	190	158	128	51	23
134	232	174	254	251	170	57	29	137	51	23
164	211	68	142	24	231	164	29	128	80	23
107	45	174	254	141	235	190	109	128	252	23
107	232	223	142	141	170	33	205	33	252	20
107	45	68	24	24	102	190	109	209	1	20
134	211	223	24	68	120	213	109	121	89	20
134	232	68	24	39	102	57	167	121	80	20
